productId,sku,productCode,productName,category,sourceArchive,sourcePath,sourceChecksum,targetFilename,mappingMethod,confidence,status,notes
"cmrnl00bc00letaec8nop5x9b","SKN-000004","PC100","CAMAY SOAP NATURAL (3*125G)","Skin Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_camay_soap_natural_pack_of_3/screen.png","a57b259008a23d4c6959161f299a7799e46c22a267fff9fda9fbd1fdc5fd3bfa","skn-000004-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; token overlap; confidence below threshold"
"cmrnl00an00l6taecnvg7fslw","HOM-000051","PC100","CAMAY SOAP CLASSIC FRAGRANCE (3*125G)","Home Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_camay_soap_classic_fragrance_pack/screen.png","f570bf5b5735df8e2d22b21f64560beef7d69485bb743279632464a81b6a2952","hom-000051-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl00es00mitaeci5cppgw2","FOO-000538","PC100","CREMICA COOKIES COCONUT","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cremica_coconut_cookies_pack/screen.png","96fa085af113a6cb2d37cd91685b84cffec872c892b4c2c1a9029336b5627829","foo-000538-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl00e300mataecdhtey9dk","HOM-000052","PC100","COLIN GLASS CLEANER ULTRA TRIGER","Home Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_colin_glass_cleaner_ultra_trigger/screen.png","a42619c6af893788b29044a5571ddf2c88bf18447756f1c0c73215b493085ec0","hom-000052-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl00ff00mqtaec09pxn0w0","FOO-000539","PC100","CREMICA CREAM BOURBON","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cremica_bourbon_cream_biscuit_pack/screen.png","41b6dd387b1aa12d0e98b3858dc64bb60283379a2cf5fc8886f4fde0c811a746","foo-000539-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl00gr00n6taecsww07yy9","FOO-000541","PC100","Cadbury gems","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cadbury_gems_chocolate_lentil_pack/screen.png","fbc197fd49100db9203de7385dff138fd729fac473012969e08951c3c3231a09","foo-000541-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; token overlap; confidence below threshold"
"cmrnl00lh00oqtaec7eyedb2p","FOO-000546","PC100","Cello fine grip ball pen blue","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_cello_fine_grip_ball_pen_blue_pack/screen.png","bd6d7df59228a443d20992cb0983fef9977cab579f7d3c93647daa876e3921d3","foo-000546-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl00m700oytaec1s1jk6z4","HOM-000053","PC100","Cello tape","Home Care","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_a_roll_of_cello_tape_professional/screen.png","eee554d46254bc090b02a27039b0d03d9dd548f9ad2cbc1f6030c65492ed70a6","hom-000053-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; token overlap; confidence below threshold"
"cmrnl00pk00q2taec2s0f8qdk","FOO-000550","PC100","Channa daal 1kg","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_channa_daal_1kg_transparent_retail/screen.png","3eb6099967a4600ff305052e59a5092539178b5f2cf460bd6280d3514c38e5fa","foo-000550-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; quantity match; strong token overlap"
"cmrnl00qx00qitaec2od2ipqw","FOO-000552","PC100","Charcoal soap","Food Items","stitch_eagle_mart_product_catalogue_images.zip","stitch_eagle_mart_product_catalogue_images/premium_supermarket_catalogue_photography_of_charcoal_soap_bar_in_premium/screen.png","6a844575b4971b43da85db5a4ea3a11153e958681b2b5ade88e4ef3c227824d1","foo-000552-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","token overlap; confidence below threshold"
